"","id1","id2","weight"
"120","A.SNH142.Z092","A.SNH005",0
"121","A.SNH144.Z093","A.SNH005",0
"122","A.SNH144.Z094","A.SNH005",0
"123","A.SNH148.Z098","A.SNH005",0
"124","A.SNH148.Z099","A.SNH005",0
"125","A.SNH152.Z100","A.SNH005",0
"126","A.SNH152.Z101","A.SNH005",0
"127","A.SNH155.Z102","A.SNH005",0
"128","A.SNH156.Z103","A.SNH005",0
"129","A.SNH172.Z106","A.SNH005",0
"130","A.SNH173.Z108","A.SNH005",0
"131","A.SNH201.Z114","A.SNH005",0
"132","A.SNH202.Z115","A.SNH005",0
"133","A.SNH202.Z116","A.SNH005",0
"134","A.SNH203.Z117","A.SNH005",0
"135","A.SNH206.Z119","A.SNH005",0
"136","A.SNH206.Z120","A.SNH005",0
"137","A.SNH208.Z122","A.SNH005",0
"138","A.SNH210.Z123","A.SNH005",15.3059276510325
"139","A.SNH229.Z139","A.SNH005",0
"140","A.SNH232.Z143","A.SNH005",0
"141","A.SNH250.Z149","A.SNH005",0
"142","A.SNH251.Z150","A.SNH005",0
"143","A.SNH005.Z002","A.SNH006",0
"144","A.SNH011.Z004","A.SNH006",0
"145","A.SNH013.Z005","A.SNH006",0
"146","A.SNH019.Z007","A.SNH006",0
"147","A.SNH020.Z008","A.SNH006",0
"148","A.SNH024.Z011","A.SNH006",0
"149","A.SNH027.Z014","A.SNH006",0
"150","A.SNH028.Z016","A.SNH006",0
"151","A.SNH029.Z017","A.SNH006",0
"152","A.SNH029.Z018","A.SNH006",0
"153","A.SNH036.Z019","A.SNH006",0
"154","A.SNH037.Z020","A.SNH006",0
"155","A.SNH038.Z021","A.SNH006",0
"156","A.SNH039.Z022","A.SNH006",0
"157","A.SNH043.Z029","A.SNH006",0
"158","A.SNH044.Z030","A.SNH006",0
"159","A.SNH045.Z031","A.SNH006",0
"160","A.SNH050.Z034","A.SNH006",0
"161","A.SNH052.Z037","A.SNH006",0
"162","A.SNH053.Z038","A.SNH006",0
"163","A.SNH054.Z040","A.SNH006",0
"164","A.SNH060.Z042","A.SNH006",0
"165","A.SNH065.Z043","A.SNH006",0
"166","A.SNH065.Z044","A.SNH006",0
"167","A.SNH067.Z045","A.SNH006",0
"168","A.SNH076.Z047","A.SNH006",0
"169","A.SNH077.Z048","A.SNH006",0
